id,title,company,location,employment_type,salary_min,salary_max,skills_required,description,posted_date
JOB_001,Junior Software Engineer,TechCorp,San Francisco CA,Full-time,80000,110000,"Python,JavaScript,Git,REST APIs,Problem Solving","Entry-level software engineer role building and maintaining web services and internal tools. You will work closely with senior engineers to ship features and fix bugs in a fast-paced environment.",2024-01-15
JOB_002,Software Engineer II,DataSolutions,New York NY,Full-time,110000,145000,"Python,Java,PostgreSQL,REST APIs,Git,Agile/Scrum","Mid-level software engineer responsible for designing and implementing new product features across backend services. You will own projects end-to-end and mentor junior team members.",2024-02-03
JOB_003,Senior Software Engineer,CloudScale,Seattle WA,Full-time,145000,185000,"Go,Kubernetes,Docker,Distributed Systems,System Design,PostgreSQL","Senior engineer role focused on building scalable distributed systems serving millions of users. You will lead technical design discussions and drive architectural decisions.",2024-01-28
JOB_004,Staff Software Engineer,NexaAI,San Francisco CA,Full-time,175000,220000,"Python,Go,System Design,Distributed Systems,Microservices,CI/CD","Staff-level engineer leading cross-team technical initiatives and setting engineering standards. You will mentor engineers across multiple teams and own critical infrastructure components.",2024-03-10
JOB_005,Principal Software Engineer,FinTechPro,New York NY,Full-time,195000,250000,"Java,Microservices,System Design,Distributed Systems,Kubernetes,PostgreSQL","Principal engineer shaping the long-term technical direction of the platform. You will define architecture for new product lines and ensure engineering excellence across the organization.",2024-02-20
JOB_006,Software Engineer Intern,EduTech,Austin TX,Internship,35000,55000,"Python,JavaScript,Git,HTML,CSS","Summer internship for computer science students to work on real product features alongside experienced engineers. You will contribute to frontend and backend codebases under close mentorship.",2024-04-01
JOB_007,Software Engineer,HealthData,Remote,Full-time,105000,140000,"Python,Django,PostgreSQL,REST APIs,Docker,Git","Full-time software engineer building healthcare data management applications with a focus on reliability and security. You will design APIs consumed by mobile and web clients.",2024-03-15
JOB_008,Backend Software Engineer,TechCorp,Seattle WA,Full-time,120000,155000,"Go,PostgreSQL,Redis,Docker,Kubernetes,REST APIs","Backend engineer responsible for core platform services handling high-throughput data processing. You will design scalable microservices and optimize database query performance.",2024-04-05
JOB_009,Software Engineer - Payments,FinTechPro,New York NY,Full-time,130000,170000,"Java,Spring Boot,PostgreSQL,Redis,Microservices,CI/CD","Engineer focused on building reliable payment processing systems handling billions of transactions. You will work on fraud detection pipelines and ensure PCI compliance.",2024-01-10
JOB_010,Software Engineer - Mobile Platform,CloudScale,San Francisco CA,Full-time,125000,160000,"Kotlin,Swift,Java,REST APIs,Git,CI/CD","Engineer building the mobile platform SDK used by thousands of iOS and Android app developers. You will design APIs, write documentation, and maintain backward compatibility.",2024-05-01
