title,company,location,type,skills_required,salary_min,salary_max,category
Associate Product Manager,Quartzline Product Co,"Bangalore, India",Full-time,"Roadmap Planning, OKRs, Agile Methodolgy",78499,102075,Product
Intern Associate Product Manager,Harborlight UX,"London, UK",Internship,"SAFe (Scaled Agile Framework), Roadmap Planning, A/B Test Design, Kanban, Stakeholder Management, Feature Prioritization, Agile Methodology",23111,37994,Product
Technical Product Manager,Pinehollow UX,"Sydney, Australia",Part-time,"User Story Mapping, OKRs, KPI Development, Product Management, Agile Methodology, Business Analysis, Communication",91575,102972,Product
Intern Platform Product Manager,Duskridge Digital,"New York, NY",Internship,"Market Research, Kanban, A/B Test Design, Confluence",25602,36797,Product
Intern Platform Product Manager,Alderwood Labs,Singapore,Part-time,"Stakeholder Management, Jira, Customer Journey Mapping, A/B Test Design, Competitive Analysis, OKRs, Feature Prioritization",25047,36949,Product
Lead Product Analyst,Quartzline Product Co,Remote,Full-time,"A/B Test Design, Stakeholder Management, OKRs, Product Discovery, Agile Methodology, Jira, Competitive Analysis, Vendor Management",144122,177648,Product
Lead UX Designer,Sterling Vale Tech,"Toronto, Canada",Full-time,"Persona Development, Responsive Design, Design Critique Facilitation, MIRO, Adobe XD, Agile Methodology",146764,174336,Design
Senior Platform Product Manager,Willowmere Digital,"Seattle, WA",Full-time,"Market Research, Customer Journey Mapping, Agile Methodology, Roadmap Planning, Stakeholder Management",110455,137174,Product
UI Designer,Nova Harbor Design,Remote,Full-time,"Figma, Miro, Persona Development",82546,113335,Design
Junior UX Researcher,Everline Studio,"Portland, OR",Full-time,"User Research, Accessibility Design, Prototyping",61392,75741,Design
Intern Product Manager,Bluepeak UX Studio,Remote,Contract,"Roadmap Planning, Jira, Product Discovery, Business Analysis, Excel",24763,40980,Product
Junior Product Manager,Halcyon Grid Labs,Remote,Full-time,"Jira, Competitive Analysis, Market Research, Data-Driven Decision Making, Interpersonal Skills",65093,72924,Product
Senior Technical Product Manager,Everline Studio,Remote,Full-time,"Jira, A/B Test Design, Agile Methodology, Product Management, Roadmap Planning, User Story Mapping",110214,142536,Product
Lead Product Owner,Sable Ridge Labs,"Denver, CO",Contract,"Competitive Analysis, Market Research, Roadmap Planning, OKRs, Jira, Communication",139742,175619,Product
