title,company,location,type,skills_required,salary_min,salary_max,category
Senior Business Intelligence Analyst,Onyx Pattern Studio,"Vancouver, BC",Contract,"Data Modeling, Scrum, Business Intelligence, SQL, Power BI",132541,149988,Data & Analytics
Staff Data Engineer,Crestline Quantum Partners,"Amsterdam, Netherlands",Full-time,"Apache Kafka, ETL Pipelines, Apache Hadoop, Apache Spark, Snowflake, Big Data, Python",158574,168915,Data & Analytics
Junior NLP Engineer,Copperfield Insight Labs,"Vancouver, BC",Part-time,"Python, Generative AI, Statistics, Large Language Models",65298,76524,Data & Analytics
Junior Machine Learning Engineer,Nova Field Tech,Remote,Contract,"Apache Spark, Scikit-learn, Kubernetes, Jira, XGBoost, Feature Engineering",64119,70430,Data & Analytics
Senior MLOps Engineer,Vertex Vector Works,Remote,Contract,"Python, Docker, Machine Learning, CI/CD Pipelines, Apache Airflow",115555,141722,Data & Analytics
Junior Data Analyst,Starling Digital Robotics Group,"New York, NY",Full-time,"Google Analytics, Data Visualization, Excel, SQL",65055,71964,Data & Analytics
Analytics Engineering Manager,Copperfield Insight Labs,Remote,Full-time,"SQL, Team Leadership, Data Governance, dbt, Stakeholder Management",128282,155394,Data & Analytics
Senior Analytics Engineer,Starling Digital Robotics Group,"Sydney, Australia",Full-time,"Problem Solving, SQL, Business Intelligence, Data Quality Management, Snowflake, Looker, dbt, Tableau",125960,141964,Data & Analytics
Senior Computer Vision Engineer,Thornfield Quantum Tech,"London, UK",Full-time,"Machine Learning, PyTorch, Docker, Feature Engineering, TensorFlow, OpenCV",116145,143361,Data & Analytics
Principal Quantitative Analyst,Starling Digital Robotics Group,"Vancouver, BC",Part-time,"Statistics, SQL, R, Critical Thinking, Machine Learning, Time Series Analysis",164360,182727,Data & Analytics
Junior Computer Vision Engineer,Fernwood Bridge Works,"Atlanta, GA",Full-time,"PyTorch, TensorFlow, Deep Learning, Python, Time Management",68965,80691,Data & Analytics
Mid-level Machine Learning Engineer,Starling Field Group,"Austin, TX",Full-time,"Critical Thinking, Deep Learning, Feature Engineering, Model Interpretability (SHAP/LIME), Scikit-learn",92346,112554,Data & Analytics
Principal Quantitative Analyst,Northfield Compute Group,"Seattle, WA",Part-time,"Python, Statistical Modeling, Time Series Analysis, R",175196,191877,Data & Analytics
Mid-level NLP Engineer,Onyx Digital Digital,"Los Angeles, CA",Full-time,"Generative AI, Hugging Face Transformers, Natural Language Processing, Large Language Models, Time Management",90964,109995,Data & Analytics
Staff Data Engineer,Silverlake Quantum Ventures,Remote,Full-time,"Apache Kafka, Critical Thinking, Apache Airflow, Python, Data Warehousing",169560,188178,Data & Analytics
Mid-level Computer Vision Engineer,Lumen Insight Digital,"Austin, TX",Full-time,"Computer Vision, Feature Engineering, Cross-functional Collaboration, TensorFlow, mlops",87472,104557,Data & Analytics
Junior NLP Engineer,Starling Cloud Works,Singapore,Full-time,"Vector Embeddings, Cross-functional Collaboration, Statistics, Hugging Face Transformers, TensorFlow, Python",67242,81183,Data & Analytics
Mid-level Data Engineer,Lumen Insight Digital,Remote,Full-time,"SQL, Apache Hadoop, Python",93862,104215,Data & Analytics
Intern Data Analyst,Nova Bridge AI,"Bangalore, India",Internship,"Problem Solving, Data Visualization, Excel, Data Analysis, SQL",28344,37016,Data & Analytics
Intern Data Analyst,Redwood Digital Analytics,"Dublin, Ireland",Internship,"Excel, Technical Writing, Data Analysis, Power BI, Data Visualization, Mixpanel",27738,35876,Data & Analytics
Data Science Manager,Ashgrove Stream Systems,"Atlanta, GA",Full-time,"Predictive Analytics, SQL, Time Management, Python, Machine Learning",134469,158042,Data & Analytics
