title,company,location,type,skills_required,salary_min,salary_max,category
Lead Content Marketing,Rosemount Analytics,"Austin, TX",Part-time,"Copywriting, Content Marketing, SEO",81079,92993,"Marketing, Sales & Growth"
Senior Brand Strategist,Onyx Partners,"London, UK",Full-time,"Market Research, Marketing Analytics, Content Strategy, Social Media Marketing, Brand Strategy, Excel",115334,144670,"Marketing, Sales & Growth"
Senior Social Media Manager,Ironwood Studio,"Seattle, WA",Contract,"Social Media Marketing, Influencer Marketing, Brand Strategy, Copywriting, Collaboration",118231,144159,"Marketing, Sales & Growth"
Lead Product Marketing Manager,Cascade Group,Remote,Internship,"Marketing Analytics, Lead Generation, Market Research, Brand Strategy, Content Strategy, Public Relations, Excel",24453,42000,"Marketing, Sales & Growth"
Lead Content Strategist,Cascade Group,"Austin, TX",Full-time,"Content Strategy, Public Relations, Social Media Marketing, Public Speaking",145762,159685,"Marketing, Sales & Growth"
Junior Marketing Automation Specialist,Granite Bridge Tech,Remote,Internship,"Email Marketing, HubSpot, Lead Generation, Marketing Analytics, Marketing Automation",23599,42000,"Marketing, Sales & Growth"
VP of Marketing,Ironwood Partners,Remote,Full-time,"Growth Hacking, Public Relations, Market Research, Sales Forecasting, Project Management",145815,163747,"Marketing, Sales & Growth"
Manager Affiliate Marketing Manager,Redwood Holdings,"Sydney, Australia",Full-time,"Marketing Analytics, Affiliate Marketing, Conversion Rate Optimization, Collaboration",116271,147835,"Marketing, Sales & Growth"
Influencer Marketing Manager,Lumen Digital,"San Francisco, CA",Full-time,"Content Marketing, Marketing Analytics, Social Media Marketing, Influencer Marketing, Brand Strategy",85674,96639,"Marketing, Sales & Growth"
Content Marketing,Windmere Interactive,Remote,Full-time,"Content Marketing, Copywriting, Content Strategy, SEO, Excel",83212,106632,"Marketing, Sales & Growth"
VP of Marketing,Cobalt Partners,"San Francisco, CA",Internship,"Growth Hacking, Marketing Analytics, Brand Strategy, CRM Management, Market Research, Sales Forecasting, Agile Methodology",27683,42000,"Marketing, Sales & Growth"
