title,company,location,type,skills_required,salary_min,salary_max,category
Intern Backend Engineer,Basalt Systems,Remote,Internship,"Event-Driven Architecture, C#, FastAPI, Cassandra, GraphQL, NestJS, Mentoring, Docker",23738,38832,Software Engineering
Lead Mobile Developer (Android),Meridian Platforms,Remote,Full-time,"Domain-Driven Design, Mobile CI/CD, Kotlin, Android Development",149455,170909,Software Engineering
Senior iOS Engineer,Pinecrest Platforms,"Atlanta, GA",Contract,"Hexagonal Architecture, Push Notifications, iOS Development, App Store Optimization, SwiftUI",106174,147918,Software Engineering
Senior Full Stack Developer,Foxglove Platforms,"Los Angeles, CA",Part-time,"Accessibility (WCAG), Tailwind CSS, Google Cloud Platform, Mentoring, Problem Solving, Microsoft Azure, Next.js",108503,140760,Software Engineering
Senior Mobile Engineer,Hollowreach Platforms,"Portland, OR",Contract,"Dart, System Design, Mobile Performance Optimization, Flutter, Kotlin Multiplatform, Cross-platform Development, TEAM LEADERSHIP, React Native",107019,136203,Software Engineering
Senior Mobile Developer (iOS),Cascadia Platforms,"Berlin, Germany",Contract,"Swift, Mobile App Architecture, app store optimization, REST API Design, Objective-C",103816,128799,Software Engineering
Intern Frontend Engineer,Solstice Platforms,"Raleigh, NC",Internship,"Angular, GraphQL Client (Apollo), Cross-browser Compatibility, Tailwind CSS, Vue.js, Problem Solving, Jest",25443,36374,Software Engineering
Full Stack Engineer,Cascadia Platforms,"Chicago, IL",Full-time,"Communication, Message Queues (RabbitMQ), Redis",81871,102260,Software Engineering
"Engineering Manager, Mobile",Vertex Platforms,"San Francisco, CA",Contract,"App Store Optimization, Agile Methodology, Push Notifications, Jetpack Compose, Android Development, System Design, Mobile App Architecture, Domain-Driven Design",121108,168377,Software Engineering
Mobile Developer (Android),Emberfield Platforms,"New York, NY",Full-time,"Mobile CI/CD, Android Development, REST API Design, Push Notifications, Kotlin, Android Studio, Mobile Performance Optimization",76928,93059,Software Engineering
Junior Frontend Developer,Ashgrove Platforms,"Dublin, Ireland",Full-time,"TypeScript, Responsive Design, Tailwind CSS, Problem Solving",59561,69795,Software Engineering
Junior Mobile Developer (iOS),Wrenfield Systems,"Portland, OR",Full-time,"Mobile Performance Optimization, Mobile App Architecture, App Store Optimization, Mobile CI/CD, iOS Development, Push Notifications",59642,69715,Software Engineering
iOS Engineer,Crestline Systems,"Denver, CO",Full-time,"SwiftUI, Mobile CI/CD, Push Notifications, Swift, REST API Design, App Store Optimization, Mobile App Architecture, Mobile Performance Optimization",75046,109992,Software Engineering
Senior Android Engineer,Vertex Systems,"Boston, MA",Full-time,"REST API Design, Mobile App Architecture, Load Balancing, Android Studio",109182,148206,Software Engineering
Intern Full Stack Developer,Skyline Platforms,Remote,Internship,"Redux, REST API Design, GraphQL Client (Apollo), Amazon Web Services, GraphQL, Ruby on Rails, Cassandra",26086,39753,Software Engineering
Senior Android Engineer,Quartzline Platforms,Remote,Full-time,"Load Balancing, Mobile App Architecture, Push Notifications, Mobile CI/CD, Mobile Performance Optimization, Code Review Practices, Android Development, Kotlin",102732,147827,Software Engineering
Senior Backend Engineer,Redwood Platforms,"Portland, OR",Full-time,"gRPC, Code Review Practices, C#",103199,135901,Software Engineering
Lead Android Engineer,Quartzline Systems,"Los Angeles, CA",Full-time,"Mobile Performance Optimization, Mobile CI/CD, REST API Design, Android Studio, Push Notifications",145606,174764,Software Engineering
Junior Mobile Engineer,Northwind Platforms,"San Francisco, CA",Full-time,"Mobile CI/CD, Mobile App Architecture, Kotlin Multiplatform, Cross-platform Development",55628,79651,Software Engineering
Senior Full Stack Engineer,Timberline Platforms,"Los Angeles, CA",Full-time,"ASP.NET, Cross-browser Compatibility, jQuery, Kubernetes, Scrum, Docker",100364,148950,Software Engineering
