title,company,location,type,skills_required,salary_min,salary_max,category
Robotics Controls Engineer,Circuitry Mechatronics,Remote,Full-time,"Computer Vision, Python, Sensor Integration, Reinforcement Learning, Microcontroller Programming, Robotics Programming, C++, Embedded C",86314,105300,Software Engineering
3D Graphics Engineer,Northgate Software,Remote,Part-time,"3D Graphics, C++, C#",82775,109896,Software Engineering
FPGA Engineer Intern,Skyline Robotics,"Seattle, WA",Internship,"Microcontroller Programming, VHDL, Raspberry Pi Development, C++, IoT Systems Design, RTOS (Real-Time Operating Systems)",30972,38752,DevOps & Infrastructure
Senior Robotics Perception Engineer,Nimbus Interactive,"Atlanta, GA",Full-time,"Python, PCB Design, Computer Vision, Sensor Integration, Robotics Programming, Microcontroller Programming, Agile Methodology",131765,154871,Software Engineering
Junior Embedded Software Engineer,Foxglove Group,"Austin, TX",Full-time,"FPGA Design, SPI/I2C Protocols, Embedded C, Arduino, IoT Systems Design, VHDL, Microcontroller Programming, RTOS (Real-Time Operating Systems)",65352,70542,DevOps & Infrastructure
Junior Autonomous Systems Engineer,Copperfield Robotics,"San Francisco, CA",Internship,"Embedded C, Microcontroller Programming, PCB Design, RTOS (Real-Time Operating Systems), Sensor Integration, Robotics Programming",70141,84797,Software Engineering
Robotics Perception Engineer Manager,Brightloop Forge,Remote,Full-time,"C++, Computer Vision, Python, PCB Design",135725,155130,Software Engineering
Staff DeFi Protocol Engineer,Fenix Technologies,"San Francisco, CA",Full-time,"Web3, Solidity, Go, Decentralized Finance (DeFi), Cryptography, NFT Platforms",159670,181347,Software Engineering
Staff IoT Firmware Engineer,Crestline Works,Remote,Part-time,"C++, IoT Systems Design, Microcontroller Programming",149472,169213,DevOps & Infrastructure
Junior Mobile Software Engineer,Wraith Digital,"New York, NY",Part-time,"Android Development, Push Notifications, App Store Optimization, Ionic, Xamarin, Swift, Cross-platform Development, Xcode, Communication",61676,68913,Software Engineering
Junior Virtual Reality Developer,Foxglove Robotics,"Austin, TX",Full-time,"Machine Learning, Unreal Engine, Data Visualization, Unity, C++, Sensor Integration, C#",63339,79715,Software Engineering
Junior Blockchain Developer,Hollow Foundry,"San Francisco, CA",Internship,"Decentralized Finance (DeFi), Distributed Ledger Technology, Go, Smart Contracts, Cryptography, NFT Platforms, Jira",67927,81892,Software Engineering
Staff iOS Developer,Ridgeback Cloud Labs,Remote,Full-time,"Push Notifications, Android Development, SwiftUI, Mobile Performance Optimization, Mobile App Architecture, Agile Methodology",158226,163665,Software Engineering
Junior Embedded Software Engineer,Meridian Forge,"New York, NY",Full-time," FPGA Design , Arduino, SPI/I2C Protocols, Microcontroller Programming",62045,82862,DevOps & Infrastructure
Senior AR/VR Engineer,Vantage Interactive,Remote,Full-time,"Unreal Engine, Computer Vision, Machine Learning",121433,135868,Software Engineering
Blockchain Architect,Foxglove Robotics,Remote,Part-time,"Hyperledger Fabric, Node.js, Solidity, Cryptocurrency Systems, Web3, NFT Platforms",96510,114051,Software Engineering
Junior React Native Developer,Protoform Solutions,Remote,Full-time,"Mobile Testing, Objective-C for iOS, Cross-platform Development, Kotlin, Mobile Performance Optimization, Mobile CI/CD, Jetpack Compose, Communication",59787,71170,Software Engineering
