title,company,location,type,skills_required,salary_min,salary_max,category
Senior Business Intelligence Analyst,Ashford Advisory Group,"Austin, TX",Full-time,"Time Management, KPI Development, Financial Analysis, Tableau, SAP, P&L Management",128621,141270,Data & Analytics
Senior Revenue Analyst,Rivergate Analytics,"New York, NY",Part-time,"P&L Management, Business Development, Negotiation, Investment Analysis",100223,115945,"Business, Finance & Analytics"
Staff Controller,Thornwood Ledger Co.,"Boston, MA",Full-time,"Investment Analysis, Accounting Principles, Excel Financial Modeling",160892,172576,"Business, Finance & Analytics"
Principal BI Developer,Rivergate Financial Services,"Chicago, IL",Contract,"NetSuite, Financial Modeling, Pricing Strategy, Presentation Skills, SQL",148857,165792,Data & Analytics
Senior Compliance Analyst,Oakhaven Consulting,"Seattle, WA",Full-time,"Excel Financial Modeling, Accounting Principles, Investment Analysis, Business Development, KPI Development, Competitive Intelligence, Procurement",116244,135302,"Business, Finance & Analytics"
Senior Business Intelligence Analyst,Harborline Holdings,"Atlanta, GA",Full-time,"Procurement, Supply Chain Analysis, KPI Development, QuickBooks, Risk Management, SQL, P&L Management, Vendor Management",112946,120676,Data & Analytics
Auditor,Redwood Wealth Partners,"Boston, MA",Full-time,"Procurement, Contract Negotiation, Cost-Benefit Analysis, Investment Analysis",78359,92086,"Business, Finance & Analytics"
Lead Risk Analyst,Brambleton Holdings,Remote,Contract,"Excel, P&L Management, Accounting Principles, Excel Financial Modeling, Contract Negotiation",136649,148371,"Business, Finance & Analytics"
Strategy Analyst Intern,Redwood Wealth Partners,Remote,Internship,"Risk Management, Excel Financial Modeling, Accounting Principles, Contract Negotiation, Vendor Management, P&L Management, Procurement, Competitive Intelligence",31981,37823,"Business, Finance & Analytics"
Internal Auditor Intern,Foxglen Advisory Group,"Austin, TX",Internship,"KPI Development, Excel Financial Modeling, Accounting Principles, Cost-Benefit Analysis",23772,31110,"Business, Finance & Analytics"
Treasury Analyst,Granite Ledger Co.,Remote,Full-time,"Contract Negotiation, Excel Financial Modeling, Financial Analysis, P&L Management, Supply Chain Analysis",95446,109627,"Business, Finance & Analytics"
Finance Manager,Rivergate Wealth Partners,Remote,Full-time,"Contract Negotiation, Investment Analysis, Supply Chain Analysis",132329,141082,"Business, Finance & Analytics"
Senior Business Analyst,Palisade Ventures,"Charlotte, NC",Contract,"Competitive Intelligence, SAP, Contract Negotiation, Investment Analysis, Procurement, SQL",119819,132506,"Business, Finance & Analytics"
Accounting Manager,Rivergate Analytics,"Boston, MA",Full-time,"Budgeting & Forecasting, NetSuite, Vendor Management,  Cost-Benefit Analysis , Procurement, Supply Chain Analysis, Risk Management, Communication",72836,80018,"Business, Finance & Analytics"
Business Intelligence Analyst Intern,Cobalt Trust Group,"Austin, TX",Internship,"Pricing Strategy, NetSuite, Tableau, Financial Modeling, Financial Analysis",34518,40480,Data & Analytics
Senior Business Intelligence Analyst,Cobalt Capital Group,Remote,Full-time,"Excel, Competitive Intelligence, Tableau, Financial Analysis, Business Development, Power BI, Financial Modeling, KPI Development",108587,117428,Data & Analytics
Treasury Analyst Manager,Brambleton Solutions Group,"Dallas, TX",Full-time,"Git, Contract Negotiation, Investment Analysis, Accounting Principles, Cost-Benefit Analysis, P&L Management",140397,155853,"Business, Finance & Analytics"
Staff Procurement Analyst,Redwood Capital Group,"San Francisco, CA",Full-time,"NetSuite, QuickBooks, Pricing Strategy, Business Development, Data-Driven Decision Making, Contract Negotiation, Supply Chain Analysis, SAP",140952,150979,"Business, Finance & Analytics"
Senior Finance Manager,Falcon Ridge Financial Group,"Chicago, IL",Full-time,"KPI Development, NetSuite, QuickBooks, Investment Analysis, Procurement, VENDOR MANAGEMENT, Budgeting & Forecasting",103219,120268,"Business, Finance & Analytics"
Revenue Analyst,Brightpath Trust Group,"Charlotte, NC",Part-time,"Investment Analysis, QuickBooks, Accounting Principles, Vendor Management, Pricing Strategy, Risk Management, Presentation Skills, Excel Financial Modeling",98052,103717,"Business, Finance & Analytics"
Principal Strategy Analyst,Summit Solutions Group,Remote,Full-time,"NetSuite, Pricing Strategy, Budgeting & Forecasting",164735,177581,"Business, Finance & Analytics"
Senior Risk Analyst,Falcon Ridge Ledger Co.,Remote,Full-time,"Accounting Principles, KPI Development, Vendor Management, Git, Supply Chain Analysis",107411,116414,"Business, Finance & Analytics"
Senior Payroll Specialist,Brightpath Solutions Group,"Charlotte, NC",Full-time,"Competitive Intelligence, SAP, Accounting Principles, Financial Analysis, Supply Chain Analysis",111060,125942,"Business, Finance & Analytics"
Business Analyst Intern,Bluepeak Investment Partners,Remote,Internship,"Investment Analysis, NetSuite, Cost-Benefit Analysis, SAP, Supply Chain Analysis, Pricing Strategy, Vendor Management",25471,29948,"Business, Finance & Analytics"
Lead Procurement Analyst,Northfield Ventures,"Dallas, TX",Full-time,"Risk Management, SAP, Business Development, Data-Driven Decision Making, Accounting Principles",139772,148034,"Business, Finance & Analytics"
Treasury Analyst Intern,Highfield Investment Partners,"Dallas, TX",Internship,"Accounting Principles, SAP, Data-Driven Decision Making, Communication, QuickBooks, Excel Financial Modeling",33799,37008,"Business, Finance & Analytics"
Data Analyst Manager,Lakeshore Ledger Co.,"Dublin, Ireland",Full-time,"Salesforce, Vendor Management, KPI Development",126347,146830,Data & Analytics
Senior Accountant,Palisade Capital Group,"Dublin, Ireland",Full-time,"Financial Analysis, SAP, Data-Driven Decision Making, Contract Negotiation, Supply Chain Analysis, Critical Thinking, Pricing Strategy, Risk Management",127816,137676,"Business, Finance & Analytics"
Data Analyst,Brightpath Trust Group,Remote,Contract,"Risk Management, Financial Modeling, SAP, Stakeholder Management, Data-Driven Decision Making, Vendor Management, Salesforce",96306,103159,Data & Analytics
Risk Manager,Skyline Strategy Group,Remote,Part-time,"Budgeting & Forecasting, Cost-Benefit Analysis, KPI Development, QuickBooks, NetSuite, Excel Financial Modeling, Procurement, Business Development",97541,109632,"Business, Finance & Analytics"
Risk Analyst Intern,Rivergate Wealth Partners,Remote,Internship,"Investment Analysis, Budgeting & Forecasting, KPI Development, Accounting Principles, Risk Management, Data-Driven Decision Making, Supply Chain Analysis, Vendor Management",28377,32789,"Business, Finance & Analytics"
Credit Analyst,Bluepeak Investment Partners,Remote,Full-time,"QuickBooks, KPI Development, P&L Management, Vendor Management, SAP",80367,93827,"Business, Finance & Analytics"
Supply Chain Analyst,Brightpath Solutions Group,"Boston, MA",Full-time,"Procurement, Business Development, Accounting Principles, Data-Driven Decision Making, Supply Chain Analysis, Budgeting & Forecasting, Excel, Risk Management",99037,107399,Business Operations
Lead Supply Chain Analyst,Sterling Financial Partners,"Dallas, TX",Part-time,"Financial Analysis, Cost-Benefit Analysis, Procurement, Accounting Principles, Pricing Strategy, KPI Development, Data-Driven Decision Making",150651,158611,Business Operations
Financial Analyst Intern,Ravenscroft Strategy Group,"Denver, CO",Internship,"Vendor Management, Procurement, Competitive Intelligence, P&L Management, SAP",23004,29043,"Business, Finance & Analytics"
Revenue Analyst Manager,Brambleton Holdings,"Chicago, IL",Full-time,"Business Development, Investment Analysis, Procurement, Data-Driven Decision Making, SQL, QuickBooks, Cost-Benefit Analysis, Stakeholder Management",143198,152785,"Business, Finance & Analytics"
Junior Financial Analyst,Hollowbrook Wealth Partners,Remote,Full-time,"Procurement, Data-Driven Decision Making, Accounting Principles, Cost-Benefit Analysis, Contract Negotiation, Problem Solving",61487,69056,"Business, Finance & Analytics"
BI Developer,Brambleton Solutions Group,"Atlanta, GA",Contract,"Excel, Presentation Skills, Risk Management, Financial Modeling, Data-Driven Decision Making, Supply Chain Analysis",92918,102975,Data & Analytics
Business Analyst Intern,Ashford Advisory Group,Remote,Internship,"Accounting Principles, Contract Negotiation, SAP, P&L Management, Investment Analysis, Excel, NetSuite, Financial Analysis",31076,36550,"Business, Finance & Analytics"
Senior Accounting Manager,Palisade Ventures,"Atlanta, GA",Full-time,"Contract Negotiation, Pricing Strategy, Cost-Benefit Analysis, Vendor Management, SAP, Financial Analysis, Problem Solving, Risk Management",126985,136049,"Business, Finance & Analytics"
Junior Financial Analyst,Harborline & Associates,"Dublin, Ireland",Full-time,"NetSuite, Competitive Intelligence, Financial Modeling, Business Development, P&L Management, Risk Management, Data-Driven Decision Making, Vendor Management",55674,62005,"Business, Finance & Analytics"
Risk Analyst,Oakhaven Investment Partners,"Austin, TX",Full-time,"Data-Driven Decision Making, Business Development, Vendor Management",72269,79086,"Business, Finance & Analytics"
Senior Finance Manager,Sterling Capital Group,Remote,Part-time,"Vendor Management, Risk Management, Contract Negotiation, KPI Development, Budgeting & Forecasting",101927,110299,"Business, Finance & Analytics"
Compliance Analyst Intern,Sterling Strategy Group,Remote,Internship,"Pricing Strategy, Financial Analysis, KPI Development",22818,28075,"Business, Finance & Analytics"
Senior Investment Analyst,Brambleton Trust Group,Remote,Full-time,"Budgeting & Forecasting, NetSuite, Financial Modeling, Vendor Management",123641,135038,"Business, Finance & Analytics"
Lead Business Analyst,Silverbrook Financial Group,"San Francisco, CA",Full-time,"SAP, KPI Development, Competitive Intelligence, Pricing Strategy, Vendor Management,  Critical Thinking , Vendor Management",158661,170964,"Business, Finance & Analytics"
Senior Financial Analyst,Oakhaven Investment Partners,Remote,Full-time,"Budgeting & Forecasting, KPI Development, Financial Analysis, Contract Negotiation",130308,144547,"Business, Finance & Analytics"
Payroll Specialist Manager,Ironwood Financial Group,"Dallas, TX",Full-time,"Investment Analysis, Excel Financial Modeling, Financial Analysis, QuickBooks, Supply Chain Analysis",116288,128854,"Business, Finance & Analytics"
Procurement Analyst,Oakhaven Investment Partners,"Austin, TX",Full-time,"Excel Financial Modeling, Critical Thinking, Investment Analysis, Pricing Strategy, Vendor Management, Supply Chain Analysis, Competitive Intelligence",84863,99020,"Business, Finance & Analytics"
Junior Internal Auditor,Cobalt Trust Group,"Chicago, IL",Full-time,"NetSuite, Excel Financial Modeling, Budgeting & Forecasting, SAP, Supply Chain Analysis, Excel, Contract Negotiation, KPI Development",63396,71088,"Business, Finance & Analytics"
Junior Risk Manager,Highfield Financial Group,"San Francisco, CA",Full-time,"Pricing Strategy, Excel Financial Modeling, Budgeting & Forecasting, Supply Chain Analysis, QuickBooks, Data-Driven Decision Making",58587,64950,"Business, Finance & Analytics"
Treasury Analyst,Sterling Strategy Group,Remote,Contract,"Budgeting & Forecasting, Accounting Principles, Supply Chain Analysis",79276,86652,"Business, Finance & Analytics"
Lead Treasury Analyst,Rivergate Financial Services,"Charlotte, NC",Full-time,"Cost-Benefit Analysis, Contract Negotiation, Risk Management, Agile Methodology, Pricing Strategy, Procurement",143399,157855,"Business, Finance & Analytics"
Treasury Analyst Intern,Rivergate Analytics,Singapore,Internship,"QuickBooks, Accounting Principles, SAP, Vendor Management, Supply Chain Analysis, Excel Financial Modeling, NetSuite",36396,44000,"Business, Finance & Analytics"
Senior BI Developer,Silverbrook Financial Group,Remote,Full-time,"P&L Management, KPI Development, Cost-Benefit Analysis, Vendor Management, SQL",118236,128361,Data & Analytics
Operations Analyst Intern,Ironwood Financial Group,"Denver, CO",Internship,"Excel, KPI Development, Investment Analysis, Excel Financial Modeling, Vendor Management, SQL, Financial Analysis",34839,42711,Business Operations
Junior Procurement Analyst,Thornwood Ledger Co.,"Austin, TX",Full-time,"Contract Negotiation, Competitive Intelligence, SAP, Budgeting & Forecasting, Business Development",71755,80482,"Business, Finance & Analytics"
Financial Planning Analyst Intern,Harborline Ledger Co.,"Seattle, WA",Internship,"Contract Negotiation, Data-Driven Decision Making, Supply Chain Analysis, Financial Analysis, QuickBooks, Cost-Benefit Analysis",37475,43534,"Business, Finance & Analytics"
Senior Controller,Fernbrook Solutions Group,Remote,Full-time,"Business Development, Budgeting & Forecasting, Cost-Benefit Analysis",114925,132734,"Business, Finance & Analytics"
Tax Analyst Intern,Brambleton Trust Group,"Austin, TX",Internship,"Investment Analysis, QuickBooks, SAP, Excel Financial Modeling, KPI Development, Budgeting & Forecasting, Competitive Intelligence",37323,40962,"Business, Finance & Analytics"
Business Intelligence Analyst Intern,Thornwood Ledger Co.,"Austin, TX",Internship,"QuickBooks, Business Development, Tableau, Stakeholder Management, Competitive Intelligence, Data-Driven Decision Making, Accounting Principles",23334,30415,Data & Analytics
Accountant,Crestline Advisory Group,"Charlotte, NC",Contract,"Critical Thinking, KPI Development, Accounting Principles, Investment Analysis, Budgeting & Forecasting, P&L Management, Contract Negotiation",78952,84562,"Business, Finance & Analytics"
Data Analyst,Redwood Advisory Group,"New York, NY",Full-time,"Negotiation, NetSuite, Contract Negotiation, Tableau, SQL, Data-Driven Decision Making",77665,91048,Data & Analytics
Senior Staff Accountant,Meridian Financial Partners,Remote,Full-time,"Budgeting & Forecasting, NetSuite, Excel Financial Modeling",121979,136705,"Business, Finance & Analytics"
Compliance Analyst Manager,Pinecrest Advisory Group,"Sydney, Australia",Full-time,"Contract Negotiation, P&L Management, Competitive Intelligence, Procurement, Accounting Principles, Budgeting & Forecasting, Data-Driven Decision Making",139879,159065,"Business, Finance & Analytics"
Investment Analyst Intern,Cobalt Capital Group,"Atlanta, GA",Internship,"Accounting Principles, Critical Thinking, Procurement, Financial Analysis",35078,40546,"Business, Finance & Analytics"
Lead Business Intelligence Analyst,Brambleton Holdings,Remote,Full-time,"Budgeting & Forecasting, Pricing Strategy, Financial Analysis, Contract Negotiation",130084,139264,Data & Analytics
Principal Business Intelligence Analyst,Northfield Ventures,"Austin, TX",Part-time,"Business Development, SQL, Financial Analysis, Tableau, competitive intelligence, Power BI, Salesforce, NetSuite",161913,176798,Data & Analytics
Junior Risk Manager,Thornwood Ledger Co.,"Seattle, WA",Full-time,"Excel Financial Modeling, KPI Development, Pricing Strategy",65346,71878,"Business, Finance & Analytics"
Data Analyst Manager,Redwood Financial Group,"Dallas, TX",Full-time,"Power BI, KPI Development, Competitive Intelligence, Procurement, Excel Financial Modeling, Financial Modeling, QuickBooks, Contract Negotiation",155306,172052,Data & Analytics
Junior Payroll Specialist,Bluepeak Strategy Group,Remote,Full-time,"Business Development, Excel, NetSuite, Contract Negotiation",58081,62353,"Business, Finance & Analytics"
Senior Supply Chain Analyst,Brambleton Solutions Group,"Sydney, Australia",Full-time,"Vendor Management, Business Development, QuickBooks, Investment Analysis, Accounting Principles, NetSuite, P&L Management, Financial Analysis",116723,124761,Business Operations
Senior Financial Planning Analyst,Summit Insights,Remote,Part-time,"Budgeting & Forecasting, NetSuite, Cost-Benefit Analysis, Data-Driven Decision Making",135073,145994,"Business, Finance & Analytics"
Senior Investment Analyst,Rivergate Analytics,"Sydney, Australia",Contract,"Pricing Strategy, Accounting Principles, Excel Financial Modeling",132550,148059,"Business, Finance & Analytics"
Lead Investment Analyst,Ironwood Strategy Group,"Chicago, IL",Full-time,"QuickBooks, Financial Modeling, Competitive Intelligence, Presentation Skills",160021,175760,"Business, Finance & Analytics"
Junior Procurement Analyst,Stonebridge Advisory Group,"Atlanta, GA",Full-time,"Investment Analysis, Risk Management, Business Development, Vendor Management, Data-Driven Decision Making, KPI Development",63499,71321,"Business, Finance & Analytics"
Treasury Analyst,Onyx Trust Group,"Chicago, IL",Full-time,"Budgeting & Forecasting, Git, Risk Management, Cost-Benefit Analysis, Financial Analysis, Procurement, KPI Development",87095,93584,"Business, Finance & Analytics"
Tax Analyst Manager,Meridian Financial Partners,"Denver, CO",Full-time,"Financial Analysis, QuickBooks, Risk Management, Pricing Strategy, KPI Development, Data-Driven Decision Making, SAP, Cost-Benefit Analysis",132595,147853,"Business, Finance & Analytics"
Junior Procurement Analyst,Ironwood Strategy Group,Remote,Full-time,"Risk Management, Investment Analysis, Vendor Management",63762,72014,"Business, Finance & Analytics"
Staff Internal Auditor,Palisade Ventures,"Austin, TX",Full-time,"Time Management, Competitive Intelligence, SAP, Business Development, P&L Management",161243,178270,"Business, Finance & Analytics"
Tax Analyst Intern,Redwood Capital Group,"Seattle, WA",Internship,"Time Management, Budgeting & Forecasting, Competitive Intelligence, Excel Financial Modeling, QuickBooks, Risk Management",36724,42516,"Business, Finance & Analytics"
Risk Manager,Onyx Strategy Group,"Dublin, Ireland",Part-time,"QuickBooks, Pricing Strategy, Supply Chain Analysis, Accounting Principles",95895,102076,"Business, Finance & Analytics"
Credit Analyst Intern,Highfield Investment Partners,"Denver, CO",Internship,"Risk Management, Cost-Benefit Analysis, Competitive Intelligence, Procurement, Excel Financial Modeling, Excel",37259,42812,"Business, Finance & Analytics"
Auditor,Cobalt Trust Group,"Chicago, IL",Contract,"Competitive Intelligence, Investment Analysis, NetSuite, Budgeting & Forecasting, Excel, P&L Management, Business Development",76911,88950,"Business, Finance & Analytics"
Treasury Analyst Intern,Hollowbrook Wealth Partners,"Boston, MA",Internship,"Competitive Intelligence, P&L Management, SAP, NetSuite, Excel Financial Modeling, Cost-Benefit Analysis, Financial Analysis, QuickBooks",31415,37440,"Business, Finance & Analytics"
Junior Risk Manager,Crestline Advisory Group,"Charlotte, NC",Part-time,"Competitive Intelligence, Accounting Principles, Budgeting & Forecasting, P&L Management, NetSuite, KPI Development, Vendor Management, Cost-Benefit Analysis",56081,64696,"Business, Finance & Analytics"
Revenue Analyst Intern,Ravenscroft Strategy Group,"Boston, MA",Internship,"Cost-Benefit Analysis, P&L Management, Communication, Pricing Strategy, Vendor Management, Budgeting & Forecasting, Data-Driven Decision Making, Excel Financial Modeling",33165,40145,"Business, Finance & Analytics"
