skill_name,category
Python,Programming Languages
JavaScript,Programming Languages
TypeScript,Programming Languages
Java,Programming Languages
C++,Programming Languages
C#,Programming Languages
Go,Programming Languages
Rust,Programming Languages
Ruby,Programming Languages
PHP,Programming Languages
Kotlin,Programming Languages
Swift,Programming Languages
Scala,Programming Languages
R,Programming Languages
MATLAB,Programming Languages
Perl,Programming Languages
Shell Scripting,Programming Languages
Dart,Programming Languages
Elixir,Programming Languages
Haskell,Programming Languages
React,Web Frameworks
Angular,Web Frameworks
Vue.js,Web Frameworks
Node.js,Web Frameworks
Express.js,Web Frameworks
Django,Web Frameworks
Flask,Web Frameworks
FastAPI,Web Frameworks
Spring Boot,Web Frameworks
Ruby on Rails,Web Frameworks
ASP.NET,Web Frameworks
Next.js,Web Frameworks
Svelte,Web Frameworks
Laravel,Web Frameworks
Nuxt.js,Web Frameworks
PostgreSQL,Databases
MySQL,Databases
MongoDB,Databases
Redis,Databases
SQLite,Databases
Microsoft SQL Server,Databases
Oracle Database,Databases
Cassandra,Databases
Neo4j,Databases
Elasticsearch,Databases
DynamoDB,Databases
MariaDB,Databases
CockroachDB,Databases
Firebase,Databases
Amazon Web Services,Cloud & DevOps
Microsoft Azure,Cloud & DevOps
Google Cloud Platform,Cloud & DevOps
Docker,Cloud & DevOps
Kubernetes,Cloud & DevOps
Terraform,Cloud & DevOps
Jenkins,Cloud & DevOps
GitHub Actions,Cloud & DevOps
Ansible,Cloud & DevOps
CI/CD Pipelines,Cloud & DevOps
Prometheus,Cloud & DevOps
Grafana,Cloud & DevOps
Helm,Cloud & DevOps
Nginx,Cloud & DevOps
Linux Administration,Cloud & DevOps
Machine Learning,Data & Machine Learning
Deep Learning,Data & Machine Learning
Natural Language Processing,Data & Machine Learning
Computer Vision,Data & Machine Learning
Data Analysis,Data & Machine Learning
Data Visualization,Data & Machine Learning
TensorFlow,Data & Machine Learning
PyTorch,Data & Machine Learning
Scikit-learn,Data & Machine Learning
Pandas,Data & Machine Learning
NumPy,Data & Machine Learning
Apache Spark,Data & Machine Learning
Apache Kafka,Data & Machine Learning
ETL Pipelines,Data & Machine Learning
Statistics,Data & Machine Learning
SQL,Data & Machine Learning
Data Warehousing,Data & Machine Learning
Tableau,Data & Machine Learning
Power BI,Data & Machine Learning
A/B Testing,Data & Machine Learning
iOS Development,Mobile Development
Android Development,Mobile Development
React Native,Mobile Development
Flutter,Mobile Development
SwiftUI,Mobile Development
Jetpack Compose,Mobile Development
UI Design,Design
UX Research,Design
Figma,Design
Adobe Photoshop,Design
Adobe Illustrator,Design
Wireframing,Design
Prototyping,Design
Design Systems,Design
Sketch,Design
Agile Methodology,Project & Product
Scrum,Project & Product
Kanban,Project & Product
Product Management,Project & Product
Jira,Project & Product
Stakeholder Management,Project & Product
Roadmap Planning,Project & Product
Requirements Gathering,Project & Product
Unit Testing,Quality & Testing
Test Automation,Quality & Testing
Selenium,Quality & Testing
Cypress,Quality & Testing
Pytest,Quality & Testing
Jest,Quality & Testing
Quality Assurance,Quality & Testing
Performance Testing,Quality & Testing
Application Security,Security
Penetration Testing,Security
Network Security,Security
Identity and Access Management,Security
Cryptography,Security
OWASP,Security
Communication,Soft Skills
Team Leadership,Soft Skills
Problem Solving,Soft Skills
Technical Writing,Soft Skills
Mentoring,Soft Skills
Cross-functional Collaboration,Soft Skills
Time Management,Soft Skills
Critical Thinking,Soft Skills
Business Analysis,Business & Analytics
Financial Modeling,Business & Analytics
Market Research,Business & Analytics
Salesforce,Business & Analytics
Excel,Business & Analytics
Google Analytics,Business & Analytics
SEO,Business & Analytics
Digital Marketing,Business & Analytics
Content Strategy,Business & Analytics
C,Programming Languages
Objective-C,Programming Languages
Groovy,Programming Languages
Lua,Programming Languages
Clojure,Programming Languages
F#,Programming Languages
Julia,Programming Languages
Assembly,Programming Languages
COBOL,Programming Languages
Fortran,Programming Languages
Visual Basic .NET,Programming Languages
