title,company,location,type,skills_required,salary_min,salary_max,category
Staff Network Administrator,Highgrove Beacon Works,"New York, NY",Part-time,"Team Leadership, DNS Administration, IPv6, Virtualization (VMware), SIEM Tools",152522,180927,DevOps & Infrastructure
Senior Cloud Operations Engineer,Palisade Vector IT,Remote,Full-time,"VoIP Systems, Observability, Linux Administration, Google Kubernetes Engine, IPv6",114326,147151,DevOps & Infrastructure
Junior Build & Release Engineer,Havencrest Systems Technologies,Remote,Full-time,"Puppet, Bitbucket, Canary Deployment, Kubernetes, Continuous Integration, Git, Linux Administration",59216,78499,DevOps & Infrastructure
Mid-level Cloud Security Engineer,Brightwell Bridge Technologies,"San Francisco, CA",Full-time,"Argo CD, Microsoft Azure, Time Management, Amazon Web Services, Service Mesh (Istio), AWS RDS",88157,107048,DevOps & Infrastructure
Principal Cloud Engineer,Ridgeback Relay Tech,Singapore,Full-time,"Communication, AWS Lambda, Kubernetes, Bitbucket, Chef, AWS S3, Ansible, AWS RDS",165025,191288,DevOps & Infrastructure
Staff Observability Engineer,Deepwater Node Networks,Singapore,Full-time,"Shell Scripting, CircleCI, Bash, PowerShell",145098,169938,DevOps & Infrastructure
Cloud Operations Manager,Cobalt Ventures Tech,"Raleigh, NC",Full-time,"Git, GitLab, Infrastructure as Code, Time Management, Monorepo Management",131356,167667,DevOps & Infrastructure
Junior Observability Engineer,Zephyr Data Digital,"Dublin, Ireland",Contract,"Linux Administration, Bash, Azure Functions, Container Orchestration",64276,74451,DevOps & Infrastructure
Mid-level Cloud Security Engineer,Bluepeak Network Tech,"Seattle, WA",Full-time,"Prometheus, Cloud Architecture, Zero Trust Architecture, Firewall Configuration, PagerDuty, Incident Response",85992,110752,DevOps & Infrastructure
Junior Network Administrator,Vertex Anchor IT,"San Francisco, CA",Internship,"DNS Administration, Incident Response,  Windows Server Administration , SD-WAN, Network Routing & Switching, Communication, Storage Area Networks, INCIDENT RESPONSE",63064,77126,DevOps & Infrastructure
Senior Build & Release Engineer,Ridgeback Relay Tech,"San Jose, CA",Internship,"GitHub Actions, Cloud Architecture, Continuous Deployment, Go, Git, Documentation Best Practices",121052,151425,DevOps & Infrastructure
Junior DevOps Architect,Ashgrove Systems Labs,Remote,Full-time,"Prometheus, Git, Trunk-Based Development, GitLab, Documentation Best Practices, Critical Thinking",64849,79942,DevOps & Infrastructure
IT Infrastructure Manager,Quartzline Pulse Solutions,"London, UK",Full-time,"GitLab, Chef, Azure DevOps, Team Leadership",123569,160502,DevOps & Infrastructure
Lead IT Infrastructure Engineer,Havencrest Relay Solutions,"Atlanta, GA",Full-time,"Terraform, Jenkins, DNS Administration, Bitbucket",135989,174223,DevOps & Infrastructure
Mid-level Network Administrator,Solstice Node Tech,"Dallas, TX",Internship,"IPv6, Virtualization (VMware), Active Directory, Windows Server Administration, Storage Area Networks, Incident Response",88864,101212,DevOps & Infrastructure
Staff Infrastructure Engineer,Brightwell Pulse Works,"Dublin, Ireland",Full-time,"Azure Functions, Cost Optimization (FinOps), Mentoring, New Relic",146518,169064,DevOps & Infrastructure
Senior Platform Engineer,Redwood Fleet Systems Group,Remote,Full-time,"Documentation Best Practices, Continuous Integration, Monorepo Management, Continuous Deployment",113786,140896,DevOps & Infrastructure
Senior Network Administrator,Copperline Signal Systems Group,Remote,Full-time,"Load Balancers (F5), Version Control, Network Routing & Switching, VoIP Systems, Agile Methodology, TCP/IP",126188,144011,DevOps & Infrastructure
Senior IT Infrastructure Engineer,Emberfall Signal Labs,"San Jose, CA",Full-time,"CI/CD Pipelines, Network Monitoring, Ruby, Active Directory, Canary Deployment",115771,150985,DevOps & Infrastructure
Principal DevOps Architect,Wraith Grid Software,"London, UK",Part-time,"Docker Compose, Google Kubernetes Engine, GitLab, Blue-Green Deployment, CircleCI",167724,193427,DevOps & Infrastructure
Senior Cloud Infrastructure Engineer,Quartzline Pulse Solutions,"Amsterdam, Netherlands",Full-time,"Problem Solving, Chef, Datadog, CircleCI, Zero Trust Architecture, Virtualization (VMware),  Service Mesh (Istio) , Vagrant",108632,147663,DevOps & Infrastructure
Principal Platform Engineer,Harborline Cloud Labs,Remote,Internship,"Time Management, New Relic, Git, Linux Administration",150687,187483,DevOps & Infrastructure
Senior Platform Engineer,Basalt Circuit Works,"London, UK",Full-time,"Git, Chef, Bitbucket, Continuous Deployment",113194,152725,DevOps & Infrastructure
Mid-level Cloud Architect,Quartzline Signal Software,"Berlin, Germany",Contract,"Chef, Canary Deployment, Zero Trust Architecture, Amazon Web Services, GitHub Actions, Pulumi",86363,101573,DevOps & Infrastructure
Junior IT Infrastructure Engineer,Brightwell Bridge Technologies,"Austin, TX",Full-time,"Network Monitoring, SD-WAN, Container Orchestration, SIEM Tools, Cost Optimization (FinOps), Grafana, DNS Administration",58532,76737,DevOps & Infrastructure
Senior Network Engineer,Palisade Relay Infrastructure,Remote,Full-time,"SD-WAN, Storage Area Networks, Network Automation, Bitbucket",121478,139488,DevOps & Infrastructure
