title,company,location,type,skills_required,salary_min,salary_max,category
Junior Revenue Operations Analyst,Crestline Digital,"New York, NY",Full-time,"SAP, Business Analysis, Excel Financial Modeling",62381,75163,Business Operations
Director Supply Chain Manager,Pinegrove Freight Co,"Chicago, IL",Part-time,"Supply Chain Analysis, Data Analysis, Decision Making, Excel, Procurement, Risk Management, Budgeting & Forecasting, KPI Development",164874,178343,Supply Chain
Lead Supply Chain Coordinator,Rosewood Freight Partners,"San Francisco, CA",Full-time,"KPI Development, NetSuite, Cost-Benefit Analysis, Contract Negotiation, Excel",115930,144862,Supply Chain
Lead Vendor Manager,Greystone Freight Solutions,"Chicago, IL",Part-time,"NetSuite, Cost-Benefit Analysis, Budgeting & Forecasting, Data Analysis, Contract Negotiation",125765,150988,Supply Chain
Lead Supply Chain Analyst,Norwich Point Consulting,Remote,Full-time,"Supply Chain Analysis, Procurement, Budgeting & Forecasting, EXCEL FINANCIAL MODELING, Risk Management",130036,155476,Supply Chain
Supply Chain Manager,Brightfield Sourcing,"San Francisco, CA",Full-time,"Contract Negotiation, Vendor Management, Cross-functional Collaboration, SAP",80994,86133,Supply Chain
Junior Operations Associate,Harborline Technologies,"Seattle, WA",Full-time,"Decision Making, cost-benefit analysis, P&L Management, Cross-team Coordination, NetSuite, Vendor Management, cost-benefit analysis",62064,67752,Business Operations
PMO Lead,Skyline Ventures IT,Remote,Full-time,"Roadmap Planning, Budget Management (Projects), Jira, Facilitation, Agile Methodology, PMP Certification, Gantt Chart Planning",78334,94105,Project & Program Management
Junior Category Manager,Copperfield Ventures,"Chicago, IL",Full-time,"NetSuite, Risk Management, Data Analysis, Excel, Contract Negotiation, SAP, Budgeting & Forecasting",61900,71563,Supply Chain
Senior Agile Coach,Wellspring Procurement Partners,"Denver, CO",Full-time,"Scrum, Team Leadership, PRINCE2, Requirements Gathering, Milestone Tracking, Vendor Coordination, Program Management, Monday.com",108986,120894,Project & Program Management
Principal Operations Manager,Mistwood Distribution Partners,"Chicago, IL",Internship,"Business Analysis, Process Improvement, Team Leadership, Vendor Management, KPI Development, Budgeting & Forecasting, Stakeholder Management, Data-Driven Decision Making",137472,159897,Business Operations
Purchasing Coordinator,Pinecrest Digital,Remote,Internship,"Excel, Cost-Benefit Analysis, Budgeting & Forecasting, SAP, Vendor Management, NetSuite, KPI Development",84053,99344,Supply Chain
Senior Agile Coach,Foxglove Operations,"Atlanta, GA",Full-time,"Microsoft Project, Risk Assessment (Projects), Portfolio Management, Facilitation, PRINCE2",102692,127244,Project & Program Management
Junior Supply Chain Coordinator,Brightfield Sourcing,"Boston, MA",Internship,"Excel Financial Modeling, Risk Management, SAP, NetSuite, Procurement, Budgeting & Forecasting",55165,61884,Supply Chain
Director Supply Chain Manager,Silverton Logistics,"Boston, MA",Full-time,"Excel, Supply Chain Analysis, Contract Negotiation, Budgeting & Forecasting, Data Analysis, NetSuite, Time Management",145760,178214,Supply Chain
Staff PMO Analyst,Millbrook Distribution Group,Remote,Part-time,"Change Management, Gantt Chart Planning, Risk Assessment (Projects), Kanban, Retrospective Facilitation, Agile Methodology, Monday.com",128676,136902,Project & Program Management
Logistics Manager,Larkspur Freight Partners,"Boston, MA",Full-time,"Risk Management, Procurement, SAP, Budgeting & Forecasting, NetSuite, Team Leadership",112821,128193,Supply Chain
Principal Business Operations Manager,Saltmarsh Supply Co,"Los Angeles, CA",Full-time,"Negotiation, SAP, Cross-team Coordination, Excel Financial Modeling",145597,162014,Business Operations
Senior Supply Chain Analyst,Ashgrove Consulting,"Denver, CO",Full-time,"Supply Chain Analysis, NetSuite, Risk Management, Time Management, Cost-Benefit Analysis",97324,117395,Supply Chain
Lead Project Manager,Kestrel Point Enterprises,"Seattle, WA",Full-time,"Team Leadership, Budget Management (Projects), Roadmap Planning, Microsoft Project",123759,138232,Project & Program Management
Junior Procurement Specialist,Duskwood Logistics Partners,"Denver, CO",Full-time,"Budgeting & Forecasting, Data Analysis, NetSuite, Decision Making, SAP, Contract Negotiation, Risk Management",62193,74457,Supply Chain
