title,company,location,type,skills_required,salary_min,salary_max,category
Robotics Perception Engineer Manager,Brightloop Forge,"Toronto, ON",Full-time,"Python, Microcontroller Programming, C++, PCB Design, Embedded C, Sensor Integration, Robotics Programming",143323,158762,Software Engineering
Director Supply Chain Analyst,Ashgrove Consulting,"Toronto, ON",Full-time,"SAP, Supply Chain Analysis, Excel",153748,180066,Supply Chain
Mid-level Cybersecurity Engineer,Suretest Technologies,"London, UK",Contract,"Firewall Configuration, GRC (Governance, Risk & Compliance), Application Security, SOC 2 Compliance, GDPR Compliance, HIPAA Compliance, Cryptography",83384,121815,Security
Investment Analyst,Stonebridge Advisory Group,"New York, NY",Full-time,"Cost-Benefit Analysis, Competitive Intelligence, KPI Development, QUICKBOOKS, Investment Analysis",87781,99825,"Business, Finance & Analytics"
Hardware/Firmware Engineer Manager,Slate Cloud Labs,"New York, NY",Full-time,"C++, Microcontroller Programming, PCB Design, Firmware Development, Arduino, SPI/I2C Protocols, Embedded C",134905,151689,DevOps & Infrastructure
Intern Data Engineer,Cinderpeak Grid Analytics,"San Francisco, CA",Internship,"Databricks, Apache Spark, Apache Kafka, Data Pipeline Design, Redshift, Apache Hadoop",24030,35354,Data & Analytics
Lead Technical Support Engineer,Northwind Analytics,Remote,Part-time,"Communication, Endpoint Security, IPv6",100311,141032,IT Support
Mid-level Build & Release Engineer,Palisade Relay Infrastructure,"Seattle, WA",Full-time,"Monorepo Management, GitLab, CircleCI, Documentation Best Practices",82178,106788,DevOps & Infrastructure
Senior Network Engineer,Northgate Systems Tech,"Raleigh, NC",Full-time,"Virtualization (VMware), Active Directory, Windows Server Administration, SIEM Tools, Network Automation, TCP/IP, Time Management",113755,154860,DevOps & Infrastructure
Intern Mobile Developer (Android),Amber Platforms,Remote,Internship,"Technical Writing, APP STORE OPTIMIZATION, Push Notifications, Mobile App Architecture",28203,39766,Software Engineering
Android Developer,Hollow Foundry,"Chicago, IL",Full-time,"Xamarin, Jetpack Compose, Kotlin Multiplatform, Android Development, Cross-platform Development, Push Notifications",85635,113462,Software Engineering
Mid-level Health Informatics Analyst,Bluepeak Diagnostics,"Berlin, Germany",Full-time,"Clinical Data Management, HIPAA Compliance, Data Warehousing, Project Management",98569,107816,Health Data & Bioinformatics
Senior Backend Developer,Harborline Systems,Remote,Full-time,"Hexagonal Architecture, gRPC, Google Cloud Platform, DynamoDB, FastAPI",100212,149679,Software Engineering
Staff Interaction Designer,Moonfern Studio,"Dublin, Ireland",Full-time,"Design Systems, Prototyping, Design Critique Facilitation",147140,160026,Design
Cloud Infrastructure Engineer Intern,Vertex Fleet Platforms,Remote,Internship,"Azure Functions, Network Routing & Switching, Load Balancers (F5)",25255,39238,DevOps & Infrastructure
Senior QA Analyst,Frameworth Digital,Remote,Full-time,"Cypress, JavaScript, Selenium, Jest, Playwright, Appium, Pytest, Unit Testing",83424,126008,QA & Testing
Growth Manager,Falconhurst Systems,Remote,Full-time,"Paid Social Advertising, Lead Generation, Marketing Analytics, Presentation Skills",79946,101683,"Marketing, Sales & Growth"
Staff EHR Integration Engineer,Bluepeak HealthTech,"Austin, TX",Internship,"Population Health Analytics, HL7, Medical Coding (ICD-10), Health Informatics, Telehealth Systems, Amazon Web Services, Jira",156074,175873,Health Data & Bioinformatics
Senior Telehealth Platform Engineer,Cascadia Medical Systems,Remote,Full-time,"Cerner, Population Health Analytics, Epic Systems, FHIR Standards, Amazon Web Services",130776,136493,Health Data & Bioinformatics
Lead Health Analytics Manager,Basecamp Genomics,"Toronto, Canada",Full-time,"ETL Pipelines, Data Warehousing, Natural Language Processing, Apache Spark, R, Cerner, Healthcare Interoperability, Project Management",151847,177517,Health Data & Bioinformatics
Senior NLP Engineer,Granite Compute IT,"London, UK",Full-time,"Large Language Models, Natural Language Processing, Hugging Face Transformers, TensorFlow",139595,151941,Data & Analytics
