title,company,location,type,skills_required,salary_min,salary_max,category
Senior Cybersecurity Engineer,Coral Reef Software,"Bengaluru, India",Full-time,"Vulnerability Assessment, GRC (Governance, Risk & Compliance), Amazon Web Services (AWS)",105406,164569,Security
QA Manager,Patchbay Technologies,"San Francisco, CA",Full-time,"Playwright, JavaScript, API Testing, Postman, Regression Testing, Exploratory Testing",118880,176284,QA & Testing
Junior IT Support Analyst,Timberline Analytics,"Bengaluru, India",Full-time,"Linux Administration, Network Automation, Virtualization (VMware), Network Monitoring, Storage Area Networks, SD-WAN",38108,54111,IT Support
Junior Penetration Tester,Skyline Ventures IT,"Dallas, TX",Full-time,"Identity and Access Management, GDPR Compliance, Microsoft Azure, Cryptography, Linux Administration",63177,90754,Security
Senior SDET,Pinecrest Digital,"Dublin, Ireland",Internship,"Behavior-Driven Development, Performance Testing, Load Testing (JMeter), Postman, Exploratory Testing, Mobile Testing, Unit Testing, SQL",104332,150742,QA & Testing
Intern Manual QA Tester,Anchorpoint Systems,Singapore,Part-time,"Test Case Design, Mobile Testing, Pytest",17733,36447,QA & Testing
Junior GRC Analyst,Meshpoint Systems,"London, UK",Contract,"Shell Scripting, Network Security, Application Security, Malware Analysis, Security Auditing, Threat Modeling, Penetration Testing",55170,78314,Security
Mid-level SDET,Circuitline IT,"Washington, DC",Full-time,"Performance Testing, Accessibility Testing, Quality Assurance, API Testing, Git, Appium, Jest",75713,116873,QA & Testing
Staff Cloud Security Architect,Bastion Point Systems,"Dallas, TX",Full-time,"Secure Code Review, Amazon Web Services (AWS), Threat Modeling, Incident Response, Security Auditing, Identity and Access Management, Penetration Testing, HIPAA Compliance",159105,221474,Security
Junior Compliance & Risk Analyst,Vertexguard Systems,"Bengaluru, India",Full-time,"OWASP, Documentation Best Practices, Malware Analysis",51053,73515,Security
Manager QA Engineer,Threadneedle Cyber,"Chicago, IL",Full-time,"Load Testing (JMeter), Performance Testing, Exploratory Testing",109894,159216,QA & Testing
IT Support Manager,Cryptbridge Systems,"Chicago, IL",Contract,"VoIP Systems, Network Automation, Load Balancers (F5), Windows Server Administration",126265,177502,IT Support
IT Support Manager,Endpointe Technologies,"Dallas, TX",Full-time,"Storage Area Networks, Active Directory, Linux Administration, Network Monitoring, VoIP Systems, Endpoint Security, VPN Configuration",125501,167121,IT Support
Junior IT Support Specialist,Crestline Digital,"Chicago, IL",Full-time,"Documentation Best Practices, Active Directory, Interpersonal Skills, Customer Service, Network Routing & Switching, Network Monitoring, Endpoint Security",38220,60662,IT Support
QA Manager,Quietstone Security,Remote,Internship,"Accessibility Testing, CI/CD Pipelines, Jira, Jira",140633,193420,QA & Testing
Manager SOC Analyst,Streamline Cyber Co,"Denver, CO",Full-time,"Threat Modeling, Shell Scripting, Zero Trust Architecture, SOC Operations, DevSecOps, Secure Code Review",112077,169711,Security
Help Desk Manager,Shieldwall Technologies,Remote,Full-time,"DNS Administration, Virtualization (VMware), Documentation Best Practices",107539,163037,IT Support
Junior Quality Assurance Engineer,Uptime Grove IT,"Dallas, TX",Part-time,"Python, Load Testing (JMeter), Regression Testing, SQL",53639,75209,QA & Testing
Senior GRC Analyst,Terminalpoint Tech,Remote,Full-time,"OWASP, VPN Configuration, Firewall Configuration, ISO 27001, HIPAA Compliance",96888,143183,Security
QA Manager,Rigortest Software,Remote,Full-time,"Test Case Design, Test Plan Development, Playwright, API Testing, Bug Tracking",121298,181305,QA & Testing
