title,company,location,type,skills_required,salary_min,salary_max,category
Junior Clinical Data Analyst,Bluepeak HealthTech,"Dublin, Ireland",Part-time,"FHIR Standards, Cerner, Power BI, Python, Tableau, communication, PYTHON",74549,79704,Health Data & Bioinformatics
Lead Clinical Data Management Lead,Cortex Diagnostics,"Chicago, IL",Internship,"Health Informatics, Cerner, Electronic Health Records (EHR), Power BI, Project Management",139042,156528,Health Data & Bioinformatics
Senior Medical Coding Data Specialist,Cortex Diagnostics,Singapore,Full-time,"Telehealth Systems, HIPAA Compliance, Medical Coding (ICD-10), FHIR Standards, Electronic Health Records (EHR), Pandas, Confluence",121195,126445,Health Data & Bioinformatics
Director of Health Informatics,Clearwater Digital,Remote,Full-time,"Population Health Analytics, Health Informatics, Data Analysis, TensorFlow, Data Visualization",150805,158600,Health Data & Bioinformatics
Mid-level Health IT Project Manager,Brightwell Bio Systems,Remote,Full-time,"Healthcare Interoperability, Medical Coding (ICD-10), Confluence, Git",95571,106926,Health Data & Bioinformatics
Staff HIPAA Compliance Engineer,Brookfield Precision Health,"Toronto, Canada",Full-time,"Population Health Analytics, Health Informatics, Telehealth Systems, Clinical Data Management, Healthcare Interoperability, Java, PostgreSQL, MySQL",176291,181244,Health Data & Bioinformatics
Senior EHR Systems Analyst,Lumen Medical Systems,"Boston, MA",Full-time,"FHIR Standards, Health Informatics, System Design",105123,124501,Health Data & Bioinformatics
Senior Telehealth Platform Engineer,Cobalt Cloud Labs,"Sydney, Australia",Full-time,"FHIR Standards, Clinical Data Management, REST API Design, Amazon Web Services, Team Leadership",135768,147044,Health Data & Bioinformatics
Senior Healthcare Interoperability Engineer,Medix Health Networks,"San Diego, CA",Full-time,"Healthcare Interoperability, HIPAA Compliance, HL7, Health Informatics, Telehealth Systems, Docker, Amazon Web Services, Java",116451,125141,Health Data & Bioinformatics
Mid-level Health Data Scientist,Beacon Life Sciences,"Dublin, Ireland",Full-time,"Data Visualization, Data Warehousing, Cerner, HIPAA Security Rule, Agile Methodology",103971,110474,Health Data & Bioinformatics
Director of Health Informatics,Lucid Genomics,"London, UK",Internship,"Healthcare Interoperability, Electronic Health Records (EHR), SQL",159733,166220,Health Data & Bioinformatics
Intern Genomics Data Analyst,Brightwell Bio Systems,"Raleigh, NC",Contract,"Apache Spark, A/B Testing, Epic Systems, Clinical Data Management, Project Management",20113,31730,Health Data & Bioinformatics
Senior Clinical Systems Engineer,Meridian Informatics,"Denver, CO",Full-time,"Telehealth Systems, FHIR Standards, Medical Coding (ICD-10), Clinical Data Management, HIPAA Security Rule, System Design, REST API Design, C#",131657,149940,Health Data & Bioinformatics
Mid-level Medical Coding Data Specialist,Genoma Health Solutions,"Bengaluru, India",Full-time,"HIPAA Security Rule, Healthcare Interoperability, TensorFlow, Deep Learning",105182,109506,Health Data & Bioinformatics
Lead EHR Integration Engineer,Foxglove Wellness Systems,Remote,Full-time,"Electronic Health Records (EHR), FHIR Standards, Healthcare Interoperability, Population Health Analytics, HIPAA Security Rule, C#, REST API Design, Jira",141296,168439,Health Data & Bioinformatics
Intern Genomics Data Analyst,Kernel Care Technologies,"Seattle, WA",Full-time,"Data Warehousing, Python, A/B Testing, Population Health Analytics",32053,35814,Health Data & Bioinformatics
Lead Clinical Data Management Lead,Aequus Health Solutions,"Pittsburgh, PA",Full-time,"Telehealth Systems, Population Health Analytics, R, Natural Language Processing",141463,165790,Health Data & Bioinformatics
Staff Health Data Scientist,Cortex Clinical Data,"Pittsburgh, PA",Full-time,"Power BI, A/B Testing, PyTorch, ETL Pipelines, Tableau, Medical Coding (ICD-10), Team Leadership",146214,156371,Health Data & Bioinformatics
Junior Bioinformatics Scientist,Granite Care Technologies,"Chicago, IL",Full-time,"Data Analysis, A/B Testing, Deep Learning, Healthcare Interoperability",65368,70480,Health Data & Bioinformatics
Junior Telehealth Platform Engineer,Copperline Care Analytics,Remote,Full-time,"HIPAA Compliance, FHIR Standards, Cerner, Clinical Data Management, C#, PostgreSQL",73298,77885,Health Data & Bioinformatics
Staff Telehealth Platform Engineer,Palisade Precision Health,"London, UK",Full-time,"HIPAA Compliance, FHIR Standards, Telehealth Systems, Cerner, Kubernetes, MySQL",146103,163941,Health Data & Bioinformatics
Junior Healthcare Software Engineer,Redwood Health Analytics,"Minneapolis, MN",Full-time,"MongoDB, Docker, C#, Amazon Web Services, Microservices Architecture, Telehealth Systems, Confluence",74925,79152,Health Data & Bioinformatics
Intern Population Health Analyst,Novantia HealthTech,"Dublin, Ireland",Full-time,"Epic Systems, Electronic Health Records (EHR), Healthcare Interoperability, FHIR Standards, HL7, Pandas, Data Warehousing, ETL Pipelines",24658,36751,Health Data & Bioinformatics
Lead HIPAA Compliance Engineer,Everstone Wellness Systems,Remote,Contract,"HL7, HIPAA Compliance, Electronic Health Records (EHR), C#, Kubernetes, Amazon Web Services, Project Management",147431,160971,Health Data & Bioinformatics
Lead Clinical Data Analyst,Sable Life Sciences,"Toronto, Canada",Full-time,"Epic Systems, Health Informatics, Electronic Health Records (EHR), HIPAA Security Rule, Natural Language Processing, Confluence",161209,176404,Health Data & Bioinformatics
Mid-level Health IT Project Manager,Everstone Wellness Systems,"Sydney, Australia",Contract,"Healthcare Interoperability, HIPAA Security Rule, HIPAA Compliance, Telehealth Systems, Population Health Analytics, Jira, Team Leadership, Agile Methodology",83113,106188,Health Data & Bioinformatics
Principal Health Data Scientist,Basecamp Genomics,"London, UK",Full-time,"Apache Spark, Data Warehousing, Population Health Analytics, FHIR Standards, Agile Methodology",152992,179740,Health Data & Bioinformatics
Senior Medical Coding Data Specialist,Kernel Precision Health,"Chicago, IL",Full-time,"Health Informatics, HIPAA Compliance, FHIR Standards, Clinical Data Management, R, Agile Methodology",117098,121803,Health Data & Bioinformatics
